Theta(deg) =   0.000000 , Phi(deg) =  71.721650 , Number of orbits =     1 , (Angstrom^-1) units
Slice   =    120 , Freq(kT, average of all copies)              =   3.0436
Orbit # =      1 , Freq(kT, this largest copy used for outline) =   3.0518
Points  =    244
  kx            ky            kz
 -7.434469E-03 -3.445160E-01  2.250828E-02
 -7.938508E-03 -3.437124E-01  2.403429E-02
 -1.115170E-02 -3.374817E-01  3.376242E-02
 -1.341811E-02 -3.318603E-01  4.062411E-02
 -1.486894E-02 -3.273512E-01  4.501657E-02
 -1.747358E-02 -3.200081E-01  5.290228E-02
 -1.858617E-02 -3.166941E-01  5.627071E-02
 -2.064641E-02 -3.081560E-01  6.250818E-02
 -2.230341E-02 -3.002523E-01  6.752485E-02
 -2.321522E-02 -2.963038E-01  7.028540E-02
 -2.580456E-02 -2.844517E-01  7.812480E-02
 -2.602064E-02 -2.832303E-01  7.877899E-02
 -2.807693E-02 -2.725995E-01  8.500451E-02
 -2.973787E-02 -2.655620E-01  9.003313E-02
 -3.079290E-02 -2.607474E-01  9.322728E-02
 -3.345511E-02 -2.496847E-01  1.012873E-01
 -3.363390E-02 -2.488952E-01  1.018286E-01
 -3.635858E-02 -2.370431E-01  1.100777E-01
 -3.717234E-02 -2.331396E-01  1.125414E-01
 -3.938483E-02 -2.251909E-01  1.192398E-01
 -4.088958E-02 -2.214422E-01  1.237956E-01
 -4.460681E-02 -2.195227E-01  1.350497E-01
 -4.832405E-02 -2.180771E-01  1.463038E-01
 -5.204128E-02 -2.170150E-01  1.575580E-01
 -5.575852E-02 -2.152870E-01  1.688121E-01
 -5.947575E-02 -2.139276E-01  1.800663E-01
 -6.319298E-02 -2.136053E-01  1.913204E-01
 -6.411771E-02 -2.133388E-01  1.941201E-01
 -6.691022E-02 -2.126272E-01  2.025745E-01
 -7.062745E-02 -2.117019E-01  2.138287E-01
 -7.434469E-02 -2.110260E-01  2.250828E-01
 -7.806192E-02 -2.083333E-01  2.363370E-01
 -8.177916E-02 -2.045297E-01  2.475911E-01
 -8.473226E-02 -2.014866E-01  2.565318E-01
 -8.549639E-02 -2.006340E-01  2.588453E-01
 -8.921362E-02 -1.939778E-01  2.700994E-01
 -9.082718E-02 -1.896344E-01  2.749845E-01
 -9.293086E-02 -1.821903E-01  2.813535E-01
 -9.388478E-02 -1.777823E-01  2.842416E-01
 -9.590761E-02 -1.659301E-01  2.903658E-01
 -9.664809E-02 -1.590631E-01  2.926077E-01
 -9.713578E-02 -1.540780E-01  2.940842E-01
 -9.740333E-02 -1.422258E-01  2.948942E-01
 -9.694612E-02 -1.303737E-01  2.935100E-01
 -9.664809E-02 -1.258571E-01  2.926077E-01
 -9.607408E-02 -1.185215E-01  2.908698E-01
 -9.528397E-02 -1.066694E-01  2.884777E-01
 -9.371972E-02 -9.481722E-02  2.837418E-01
 -9.293086E-02 -8.956751E-02  2.813535E-01
 -9.183356E-02 -8.296507E-02  2.780314E-01
 -9.005739E-02 -7.111292E-02  2.726539E-01
 -8.921362E-02 -6.541809E-02  2.700994E-01
 -8.824521E-02 -5.926077E-02  2.671674E-01
 -8.652894E-02 -4.740861E-02  2.619714E-01
 -8.549639E-02 -3.961411E-02  2.588453E-01
 -8.498182E-02 -3.555646E-02  2.572874E-01
 -8.328615E-02 -2.370431E-02  2.521536E-01
 -8.177916E-02 -1.264432E-02  2.475911E-01
 -8.165165E-02 -1.185215E-02  2.472051E-01
 -8.047530E-02  0.000000E+00  2.436436E-01
 -8.165165E-02  1.185215E-02  2.472051E-01
 -8.177916E-02  1.264432E-02  2.475911E-01
 -8.328615E-02  2.370431E-02  2.521536E-01
 -8.498182E-02  3.555646E-02  2.572874E-01
 -8.549639E-02  3.961411E-02  2.588453E-01
 -8.652894E-02  4.740861E-02  2.619714E-01
 -8.824521E-02  5.926077E-02  2.671674E-01
 -8.921362E-02  6.541809E-02  2.700994E-01
 -9.005739E-02  7.111292E-02  2.726539E-01
 -9.183356E-02  8.296507E-02  2.780314E-01
 -9.293086E-02  8.956751E-02  2.813535E-01
 -9.371972E-02  9.481722E-02  2.837418E-01
 -9.528397E-02  1.066694E-01  2.884777E-01
 -9.607408E-02  1.185215E-01  2.908698E-01
 -9.664809E-02  1.258571E-01  2.926077E-01
 -9.694612E-02  1.303737E-01  2.935100E-01
 -9.740333E-02  1.422258E-01  2.948942E-01
 -9.713578E-02  1.540780E-01  2.940842E-01
 -9.664809E-02  1.590631E-01  2.926077E-01
 -9.590761E-02  1.659301E-01  2.903658E-01
 -9.388478E-02  1.777823E-01  2.842416E-01
 -9.293086E-02  1.821903E-01  2.813535E-01
 -9.082718E-02  1.896344E-01  2.749845E-01
 -8.921362E-02  1.939778E-01  2.700994E-01
 -8.549639E-02  2.006340E-01  2.588453E-01
 -8.473226E-02  2.014866E-01  2.565318E-01
 -8.177916E-02  2.045297E-01  2.475911E-01
 -7.806192E-02  2.083333E-01  2.363370E-01
 -7.434469E-02  2.110260E-01  2.250828E-01
 -7.062745E-02  2.117019E-01  2.138287E-01
 -6.691022E-02  2.126272E-01  2.025745E-01
 -6.411771E-02  2.133388E-01  1.941201E-01
 -6.319298E-02  2.136053E-01  1.913204E-01
 -5.947575E-02  2.139276E-01  1.800663E-01
 -5.575852E-02  2.152870E-01  1.688121E-01
 -5.204128E-02  2.170150E-01  1.575580E-01
 -4.832405E-02  2.180771E-01  1.463038E-01
 -4.460681E-02  2.195227E-01  1.350497E-01
 -4.088958E-02  2.214422E-01  1.237956E-01
 -3.938483E-02  2.251909E-01  1.192398E-01
 -3.717234E-02  2.331396E-01  1.125414E-01
 -3.635858E-02  2.370431E-01  1.100777E-01
 -3.363390E-02  2.488952E-01  1.018286E-01
 -3.345511E-02  2.496847E-01  1.012873E-01
 -3.079290E-02  2.607474E-01  9.322728E-02
 -2.973787E-02  2.655620E-01  9.003313E-02
 -2.807693E-02  2.725995E-01  8.500451E-02
 -2.602064E-02  2.832303E-01  7.877899E-02
 -2.580456E-02  2.844517E-01  7.812480E-02
 -2.321522E-02  2.963038E-01  7.028540E-02
 -2.230341E-02  3.002523E-01  6.752485E-02
 -2.064641E-02  3.081560E-01  6.250818E-02
 -1.858617E-02  3.166941E-01  5.627071E-02
 -1.747358E-02  3.200081E-01  5.290228E-02
 -1.486894E-02  3.273512E-01  4.501657E-02
 -1.341811E-02  3.318603E-01  4.062411E-02
 -1.115170E-02  3.374817E-01  3.376242E-02
 -7.938508E-03  3.437124E-01  2.403429E-02
 -7.434469E-03  3.445160E-01  2.250828E-02
 -3.717234E-03  3.473157E-01  1.125414E-02
  0.000000E+00  3.482247E-01  0.000000E+00
  3.717234E-03  3.473157E-01 -1.125414E-02
  7.434469E-03  3.445160E-01 -2.250828E-02
  7.938508E-03  3.437124E-01 -2.403429E-02
  1.115170E-02  3.374817E-01 -3.376242E-02
  1.341811E-02  3.318603E-01 -4.062411E-02
  1.486894E-02  3.273512E-01 -4.501657E-02
  1.747358E-02  3.200081E-01 -5.290228E-02
  1.858617E-02  3.166941E-01 -5.627071E-02
  2.064641E-02  3.081560E-01 -6.250818E-02
  2.230341E-02  3.002523E-01 -6.752485E-02
  2.321522E-02  2.963038E-01 -7.028540E-02
  2.580456E-02  2.844517E-01 -7.812480E-02
  2.602064E-02  2.832303E-01 -7.877899E-02
  2.807693E-02  2.725995E-01 -8.500451E-02
  2.973787E-02  2.655620E-01 -9.003313E-02
  3.079290E-02  2.607474E-01 -9.322728E-02
  3.345511E-02  2.496847E-01 -1.012873E-01
  3.363390E-02  2.488952E-01 -1.018286E-01
  3.635858E-02  2.370431E-01 -1.100777E-01
  3.717234E-02  2.331396E-01 -1.125414E-01
  3.938483E-02  2.251909E-01 -1.192398E-01
  4.088958E-02  2.214422E-01 -1.237956E-01
  4.460681E-02  2.195227E-01 -1.350497E-01
  4.832405E-02  2.180771E-01 -1.463038E-01
  5.204128E-02  2.170150E-01 -1.575580E-01
  5.575852E-02  2.152870E-01 -1.688121E-01
  5.947575E-02  2.139276E-01 -1.800663E-01
  6.319298E-02  2.136053E-01 -1.913204E-01
  6.411771E-02  2.133388E-01 -1.941201E-01
  6.691022E-02  2.126272E-01 -2.025745E-01
  7.062745E-02  2.117019E-01 -2.138287E-01
  7.434469E-02  2.110260E-01 -2.250828E-01
  7.806192E-02  2.083333E-01 -2.363370E-01
  8.177916E-02  2.045297E-01 -2.475911E-01
  8.473226E-02  2.014866E-01 -2.565318E-01
  8.549639E-02  2.006340E-01 -2.588453E-01
  8.921362E-02  1.939778E-01 -2.700994E-01
  9.082718E-02  1.896344E-01 -2.749845E-01
  9.293086E-02  1.821903E-01 -2.813535E-01
  9.388478E-02  1.777823E-01 -2.842416E-01
  9.590761E-02  1.659301E-01 -2.903658E-01
  9.664809E-02  1.590631E-01 -2.926077E-01
  9.713578E-02  1.540780E-01 -2.940842E-01
  9.740333E-02  1.422258E-01 -2.948942E-01
  9.694612E-02  1.303737E-01 -2.935100E-01
  9.664809E-02  1.258571E-01 -2.926077E-01
  9.607408E-02  1.185215E-01 -2.908698E-01
  9.528397E-02  1.066694E-01 -2.884777E-01
  9.371972E-02  9.481722E-02 -2.837418E-01
  9.293086E-02  8.956751E-02 -2.813535E-01
  9.183356E-02  8.296507E-02 -2.780314E-01
  9.005739E-02  7.111292E-02 -2.726539E-01
  8.921362E-02  6.541809E-02 -2.700994E-01
  8.824521E-02  5.926077E-02 -2.671674E-01
  8.652894E-02  4.740861E-02 -2.619714E-01
  8.549639E-02  3.961411E-02 -2.588453E-01
  8.498182E-02  3.555646E-02 -2.572874E-01
  8.328615E-02  2.370431E-02 -2.521536E-01
  8.177916E-02  1.264432E-02 -2.475911E-01
  8.165165E-02  1.185215E-02 -2.472051E-01
  8.047530E-02  0.000000E+00 -2.436436E-01
  8.165165E-02 -1.185215E-02 -2.472051E-01
  8.177916E-02 -1.264432E-02 -2.475911E-01
  8.328615E-02 -2.370431E-02 -2.521536E-01
  8.498182E-02 -3.555646E-02 -2.572874E-01
  8.549639E-02 -3.961411E-02 -2.588453E-01
  8.652894E-02 -4.740861E-02 -2.619714E-01
  8.824521E-02 -5.926077E-02 -2.671674E-01
  8.921362E-02 -6.541809E-02 -2.700994E-01
  9.005739E-02 -7.111292E-02 -2.726539E-01
  9.183356E-02 -8.296507E-02 -2.780314E-01
  9.293086E-02 -8.956751E-02 -2.813535E-01
  9.371972E-02 -9.481722E-02 -2.837418E-01
  9.528397E-02 -1.066694E-01 -2.884777E-01
  9.607408E-02 -1.185215E-01 -2.908698E-01
  9.664809E-02 -1.258571E-01 -2.926077E-01
  9.694612E-02 -1.303737E-01 -2.935100E-01
  9.740333E-02 -1.422258E-01 -2.948942E-01
  9.713578E-02 -1.540780E-01 -2.940842E-01
  9.664809E-02 -1.590631E-01 -2.926077E-01
  9.590761E-02 -1.659301E-01 -2.903658E-01
  9.388478E-02 -1.777823E-01 -2.842416E-01
  9.293086E-02 -1.821903E-01 -2.813535E-01
  9.082718E-02 -1.896344E-01 -2.749845E-01
  8.921362E-02 -1.939778E-01 -2.700994E-01
  8.549639E-02 -2.006340E-01 -2.588453E-01
  8.473226E-02 -2.014866E-01 -2.565318E-01
  8.177916E-02 -2.045297E-01 -2.475911E-01
  7.806192E-02 -2.083333E-01 -2.363370E-01
  7.434469E-02 -2.110260E-01 -2.250828E-01
  7.062745E-02 -2.117019E-01 -2.138287E-01
  6.691022E-02 -2.126272E-01 -2.025745E-01
  6.411771E-02 -2.133388E-01 -1.941201E-01
  6.319298E-02 -2.136053E-01 -1.913204E-01
  5.947575E-02 -2.139276E-01 -1.800663E-01
  5.575852E-02 -2.152870E-01 -1.688121E-01
  5.204128E-02 -2.170150E-01 -1.575580E-01
  4.832405E-02 -2.180771E-01 -1.463038E-01
  4.460681E-02 -2.195227E-01 -1.350497E-01
  4.088958E-02 -2.214422E-01 -1.237956E-01
  3.938483E-02 -2.251909E-01 -1.192398E-01
  3.717234E-02 -2.331396E-01 -1.125414E-01
  3.635858E-02 -2.370431E-01 -1.100777E-01
  3.363390E-02 -2.488952E-01 -1.018286E-01
  3.345511E-02 -2.496847E-01 -1.012873E-01
  3.079290E-02 -2.607474E-01 -9.322728E-02
  2.973787E-02 -2.655620E-01 -9.003313E-02
  2.807693E-02 -2.725995E-01 -8.500451E-02
  2.602064E-02 -2.832303E-01 -7.877899E-02
  2.580456E-02 -2.844517E-01 -7.812480E-02
  2.321522E-02 -2.963038E-01 -7.028540E-02
  2.230341E-02 -3.002523E-01 -6.752485E-02
  2.064641E-02 -3.081560E-01 -6.250818E-02
  1.858617E-02 -3.166941E-01 -5.627071E-02
  1.747358E-02 -3.200081E-01 -5.290228E-02
  1.486894E-02 -3.273512E-01 -4.501657E-02
  1.341811E-02 -3.318603E-01 -4.062411E-02
  1.115170E-02 -3.374817E-01 -3.376242E-02
  7.938508E-03 -3.437124E-01 -2.403429E-02
  7.434469E-03 -3.445160E-01 -2.250828E-02
  3.717234E-03 -3.473157E-01 -1.125414E-02
  0.000000E+00 -3.482247E-01  0.000000E+00
 -3.717234E-03 -3.473157E-01  1.125414E-02
