Theta(deg) =   0.000000 , Phi(deg) =  71.721650 , Number of orbits =     1 , (a.u.^-1) units
Slice   =    120 , Freq(kT, average of all copies)              =   3.0436
Orbit # =      1 , Freq(kT, this largest copy used for outline) =   3.0518
Points  =    244
  kx            ky            kz
 -3.934151E-03 -1.823100E-01  1.191087E-02
 -4.200877E-03 -1.818848E-01  1.271840E-02
 -5.901227E-03 -1.785876E-01  1.786631E-02
 -7.100560E-03 -1.756129E-01  2.149735E-02
 -7.868303E-03 -1.732268E-01  2.382174E-02
 -9.246621E-03 -1.693410E-01  2.799468E-02
 -9.835379E-03 -1.675873E-01  2.977718E-02
 -1.092561E-02 -1.630691E-01  3.307791E-02
 -1.180245E-02 -1.588867E-01  3.573261E-02
 -1.228496E-02 -1.567972E-01  3.719343E-02
 -1.365519E-02 -1.505253E-01  4.134186E-02
 -1.376953E-02 -1.498790E-01  4.168805E-02
 -1.485767E-02 -1.442535E-01  4.498245E-02
 -1.573661E-02 -1.405293E-01  4.764348E-02
 -1.629490E-02 -1.379816E-01  4.933375E-02
 -1.770368E-02 -1.321274E-01  5.359892E-02
 -1.779830E-02 -1.317097E-01  5.388537E-02
 -1.924013E-02 -1.254378E-01  5.825060E-02
 -1.967076E-02 -1.233722E-01  5.955435E-02
 -2.084155E-02 -1.191659E-01  6.309901E-02
 -2.163783E-02 -1.171821E-01  6.550979E-02
 -2.360491E-02 -1.161664E-01  7.146522E-02
 -2.557198E-02 -1.154014E-01  7.742066E-02
 -2.753906E-02 -1.148394E-01  8.337609E-02
 -2.950614E-02 -1.139250E-01  8.933153E-02
 -3.147321E-02 -1.132056E-01  9.528696E-02
 -3.344029E-02 -1.130350E-01  1.012424E-01
 -3.392963E-02 -1.128940E-01  1.027239E-01
 -3.540736E-02 -1.125175E-01  1.071978E-01
 -3.737444E-02 -1.120278E-01  1.131533E-01
 -3.934151E-02 -1.116701E-01  1.191087E-01
 -4.130859E-02 -1.102452E-01  1.250641E-01
 -4.327567E-02 -1.082324E-01  1.310196E-01
 -4.483838E-02 -1.066221E-01  1.357508E-01
 -4.524274E-02 -1.061709E-01  1.369750E-01
 -4.720982E-02 -1.026486E-01  1.429304E-01
 -4.806367E-02 -1.003502E-01  1.455155E-01
 -4.917689E-02 -9.641094E-02  1.488859E-01
 -4.968169E-02 -9.407834E-02  1.504142E-01
 -5.075212E-02 -8.780645E-02  1.536550E-01
 -5.114397E-02 -8.417259E-02  1.548413E-01
 -5.140204E-02 -8.153456E-02  1.556226E-01
 -5.154362E-02 -7.526267E-02  1.560513E-01
 -5.130168E-02 -6.899078E-02  1.553188E-01
 -5.114397E-02 -6.660069E-02  1.548413E-01
 -5.084021E-02 -6.271889E-02  1.539217E-01
 -5.042210E-02 -5.644700E-02  1.526558E-01
 -4.959434E-02 -5.017511E-02  1.501497E-01
 -4.917689E-02 -4.739709E-02  1.488859E-01
 -4.859623E-02 -4.390322E-02  1.471279E-01
 -4.765632E-02 -3.763134E-02  1.442823E-01
 -4.720982E-02 -3.461776E-02  1.429304E-01
 -4.669735E-02 -3.135945E-02  1.413789E-01
 -4.578914E-02 -2.508756E-02  1.386293E-01
 -4.524274E-02 -2.096289E-02  1.369750E-01
 -4.497044E-02 -1.881567E-02  1.361506E-01
 -4.407313E-02 -1.254378E-02  1.334340E-01
 -4.327567E-02 -6.691088E-03  1.310196E-01
 -4.320819E-02 -6.271889E-03  1.308153E-01
 -4.258569E-02  0.000000E+00  1.289306E-01
 -4.320819E-02  6.271889E-03  1.308153E-01
 -4.327567E-02  6.691088E-03  1.310196E-01
 -4.407313E-02  1.254378E-02  1.334340E-01
 -4.497044E-02  1.881567E-02  1.361506E-01
 -4.524274E-02  2.096289E-02  1.369750E-01
 -4.578914E-02  2.508756E-02  1.386293E-01
 -4.669735E-02  3.135945E-02  1.413789E-01
 -4.720982E-02  3.461776E-02  1.429304E-01
 -4.765632E-02  3.763134E-02  1.442823E-01
 -4.859623E-02  4.390322E-02  1.471279E-01
 -4.917689E-02  4.739709E-02  1.488859E-01
 -4.959434E-02  5.017511E-02  1.501497E-01
 -5.042210E-02  5.644700E-02  1.526558E-01
 -5.084021E-02  6.271889E-02  1.539217E-01
 -5.114397E-02  6.660069E-02  1.548413E-01
 -5.130168E-02  6.899078E-02  1.553188E-01
 -5.154362E-02  7.526267E-02  1.560513E-01
 -5.140204E-02  8.153456E-02  1.556226E-01
 -5.114397E-02  8.417259E-02  1.548413E-01
 -5.075212E-02  8.780645E-02  1.536550E-01
 -4.968169E-02  9.407834E-02  1.504142E-01
 -4.917689E-02  9.641094E-02  1.488859E-01
 -4.806367E-02  1.003502E-01  1.455155E-01
 -4.720982E-02  1.026486E-01  1.429304E-01
 -4.524274E-02  1.061709E-01  1.369750E-01
 -4.483838E-02  1.066221E-01  1.357508E-01
 -4.327567E-02  1.082324E-01  1.310196E-01
 -4.130859E-02  1.102452E-01  1.250641E-01
 -3.934151E-02  1.116701E-01  1.191087E-01
 -3.737444E-02  1.120278E-01  1.131533E-01
 -3.540736E-02  1.125175E-01  1.071978E-01
 -3.392963E-02  1.128940E-01  1.027239E-01
 -3.344029E-02  1.130350E-01  1.012424E-01
 -3.147321E-02  1.132056E-01  9.528696E-02
 -2.950614E-02  1.139250E-01  8.933153E-02
 -2.753906E-02  1.148394E-01  8.337609E-02
 -2.557198E-02  1.154014E-01  7.742066E-02
 -2.360491E-02  1.161664E-01  7.146522E-02
 -2.163783E-02  1.171821E-01  6.550979E-02
 -2.084155E-02  1.191659E-01  6.309901E-02
 -1.967076E-02  1.233722E-01  5.955435E-02
 -1.924013E-02  1.254378E-01  5.825060E-02
 -1.779830E-02  1.317097E-01  5.388537E-02
 -1.770368E-02  1.321274E-01  5.359892E-02
 -1.629490E-02  1.379816E-01  4.933375E-02
 -1.573661E-02  1.405293E-01  4.764348E-02
 -1.485767E-02  1.442535E-01  4.498245E-02
 -1.376953E-02  1.498790E-01  4.168805E-02
 -1.365519E-02  1.505253E-01  4.134186E-02
 -1.228496E-02  1.567972E-01  3.719343E-02
 -1.180245E-02  1.588867E-01  3.573261E-02
 -1.092561E-02  1.630691E-01  3.307791E-02
 -9.835379E-03  1.675873E-01  2.977718E-02
 -9.246621E-03  1.693410E-01  2.799468E-02
 -7.868303E-03  1.732268E-01  2.382174E-02
 -7.100560E-03  1.756129E-01  2.149735E-02
 -5.901227E-03  1.785876E-01  1.786631E-02
 -4.200877E-03  1.818848E-01  1.271840E-02
 -3.934151E-03  1.823100E-01  1.191087E-02
 -1.967076E-03  1.837915E-01  5.955435E-03
  0.000000E+00  1.842726E-01  0.000000E+00
  1.967076E-03  1.837915E-01 -5.955435E-03
  3.934151E-03  1.823100E-01 -1.191087E-02
  4.200877E-03  1.818848E-01 -1.271840E-02
  5.901227E-03  1.785876E-01 -1.786631E-02
  7.100560E-03  1.756129E-01 -2.149735E-02
  7.868303E-03  1.732268E-01 -2.382174E-02
  9.246621E-03  1.693410E-01 -2.799468E-02
  9.835379E-03  1.675873E-01 -2.977718E-02
  1.092561E-02  1.630691E-01 -3.307791E-02
  1.180245E-02  1.588867E-01 -3.573261E-02
  1.228496E-02  1.567972E-01 -3.719343E-02
  1.365519E-02  1.505253E-01 -4.134186E-02
  1.376953E-02  1.498790E-01 -4.168805E-02
  1.485767E-02  1.442535E-01 -4.498245E-02
  1.573661E-02  1.405293E-01 -4.764348E-02
  1.629490E-02  1.379816E-01 -4.933375E-02
  1.770368E-02  1.321274E-01 -5.359892E-02
  1.779830E-02  1.317097E-01 -5.388537E-02
  1.924013E-02  1.254378E-01 -5.825060E-02
  1.967076E-02  1.233722E-01 -5.955435E-02
  2.084155E-02  1.191659E-01 -6.309901E-02
  2.163783E-02  1.171821E-01 -6.550979E-02
  2.360491E-02  1.161664E-01 -7.146522E-02
  2.557198E-02  1.154014E-01 -7.742066E-02
  2.753906E-02  1.148394E-01 -8.337609E-02
  2.950614E-02  1.139250E-01 -8.933153E-02
  3.147321E-02  1.132056E-01 -9.528696E-02
  3.344029E-02  1.130350E-01 -1.012424E-01
  3.392963E-02  1.128940E-01 -1.027239E-01
  3.540736E-02  1.125175E-01 -1.071978E-01
  3.737444E-02  1.120278E-01 -1.131533E-01
  3.934151E-02  1.116701E-01 -1.191087E-01
  4.130859E-02  1.102452E-01 -1.250641E-01
  4.327567E-02  1.082324E-01 -1.310196E-01
  4.483838E-02  1.066221E-01 -1.357508E-01
  4.524274E-02  1.061709E-01 -1.369750E-01
  4.720982E-02  1.026486E-01 -1.429304E-01
  4.806367E-02  1.003502E-01 -1.455155E-01
  4.917689E-02  9.641094E-02 -1.488859E-01
  4.968169E-02  9.407834E-02 -1.504142E-01
  5.075212E-02  8.780645E-02 -1.536550E-01
  5.114397E-02  8.417259E-02 -1.548413E-01
  5.140204E-02  8.153456E-02 -1.556226E-01
  5.154362E-02  7.526267E-02 -1.560513E-01
  5.130168E-02  6.899078E-02 -1.553188E-01
  5.114397E-02  6.660069E-02 -1.548413E-01
  5.084021E-02  6.271889E-02 -1.539217E-01
  5.042210E-02  5.644700E-02 -1.526558E-01
  4.959434E-02  5.017511E-02 -1.501497E-01
  4.917689E-02  4.739709E-02 -1.488859E-01
  4.859623E-02  4.390322E-02 -1.471279E-01
  4.765632E-02  3.763134E-02 -1.442823E-01
  4.720982E-02  3.461776E-02 -1.429304E-01
  4.669735E-02  3.135945E-02 -1.413789E-01
  4.578914E-02  2.508756E-02 -1.386293E-01
  4.524274E-02  2.096289E-02 -1.369750E-01
  4.497044E-02  1.881567E-02 -1.361506E-01
  4.407313E-02  1.254378E-02 -1.334340E-01
  4.327567E-02  6.691088E-03 -1.310196E-01
  4.320819E-02  6.271889E-03 -1.308153E-01
  4.258569E-02  0.000000E+00 -1.289306E-01
  4.320819E-02 -6.271889E-03 -1.308153E-01
  4.327567E-02 -6.691088E-03 -1.310196E-01
  4.407313E-02 -1.254378E-02 -1.334340E-01
  4.497044E-02 -1.881567E-02 -1.361506E-01
  4.524274E-02 -2.096289E-02 -1.369750E-01
  4.578914E-02 -2.508756E-02 -1.386293E-01
  4.669735E-02 -3.135945E-02 -1.413789E-01
  4.720982E-02 -3.461776E-02 -1.429304E-01
  4.765632E-02 -3.763134E-02 -1.442823E-01
  4.859623E-02 -4.390322E-02 -1.471279E-01
  4.917689E-02 -4.739709E-02 -1.488859E-01
  4.959434E-02 -5.017511E-02 -1.501497E-01
  5.042210E-02 -5.644700E-02 -1.526558E-01
  5.084021E-02 -6.271889E-02 -1.539217E-01
  5.114397E-02 -6.660069E-02 -1.548413E-01
  5.130168E-02 -6.899078E-02 -1.553188E-01
  5.154362E-02 -7.526267E-02 -1.560513E-01
  5.140204E-02 -8.153456E-02 -1.556226E-01
  5.114397E-02 -8.417259E-02 -1.548413E-01
  5.075212E-02 -8.780645E-02 -1.536550E-01
  4.968169E-02 -9.407834E-02 -1.504142E-01
  4.917689E-02 -9.641094E-02 -1.488859E-01
  4.806367E-02 -1.003502E-01 -1.455155E-01
  4.720982E-02 -1.026486E-01 -1.429304E-01
  4.524274E-02 -1.061709E-01 -1.369750E-01
  4.483838E-02 -1.066221E-01 -1.357508E-01
  4.327567E-02 -1.082324E-01 -1.310196E-01
  4.130859E-02 -1.102452E-01 -1.250641E-01
